id	precursor_ion_mz	mz_ratio	intensity
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	210.021423	18846.431641
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	211.051117	18590.996094
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	212.044373	63021.167969
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	213.048843	15913.060547
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	214.056473	23002.119141
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	215.070358	5624.959473
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	216.047394	30687.099609
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	224.03894	11233.066406
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	225.047516	11260.082031
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	226.039444	105524.773438
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	227.057892	20792.931641
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	228.060974	17875.152344
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	230.054184	17309.658203
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	240.0681	48865.523438
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	241.077927	10152.845703
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	242.072052	8706.637695
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	244.071136	15372.75293
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	254.059036	11044.208984
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	258.083893	14801.555664
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	268.084229	83570.148438
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	269.094025	20660.765625
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	270.078064	109843.53125
2-nonenyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonenylquinoline N-oxide M+H	286	271.097809	22232.359375
1-methoxyphenazine M+H	211	91.041634	543
1-methoxyphenazine M+H	211	98.031212	1442
1-methoxyphenazine M+H	211	182.080597	446
1-methoxyphenazine M+H	211	182.081482	1124
1-methoxyphenazine M+H	211	182.082565	3886
1-methoxyphenazine M+H	211	182.083878	13888
1-methoxyphenazine M+H	211	182.085632	528
1-methoxyphenazine M+H	211	183.09021	1112
1-methoxyphenazine M+H	211	183.091751	4616
1-methoxyphenazine M+H	211	196.059326	882
1-methoxyphenazine M+H	211	196.061615	7949
1-methoxyphenazine M+H	211	196.063126	36724
1-methoxyphenazine M+H	211	196.065155	1385
1-methoxyphenazine M+H	211	196.065918	446
1-methoxyphenazine M+H	211	196.066681	393
2-nonyl 4-quinolone M+H	272	132.180603	6647.898438
2-nonyl 4-quinolone M+H	272	146.131531	12536.833984
2-nonyl 4-quinolone M+H	272	159.104706	389369.1875
2-nonyl 4-quinolone M+H	272	160.111298	45667.277344
2-nonyl 4-quinolone M+H	272	161.120224	6886.200684
2-nonyl 4-quinolone M+H	272	162.111343	5473.596191
2-nonyl 4-quinolone M+H	272	171.579834	4007.15625
2-nonyl 4-quinolone M+H	272	172.105011	149653.765625
2-nonyl 4-quinolone M+H	272	173.100616	31592.40625
2-nonyl 4-quinolone M+H	272	174.08606	27829.369141
2-nonyl 4-quinolone M+H	272	185.104736	6069.688965
2-nonyl 4-quinolone M+H	272	186.072723	37259.269531
2-nonyl 4-quinolone M+H	272	187.079514	15160.624023
2-nonyl 4-quinolone M+H	272	188.073212	15700.194336
2-nonyl 4-quinolone M+H	272	200.077621	6454.203613
2-nonyl 4-quinolone M+H	272	202.078644	4192.003418
2-nonyl 4-quinolone M+H	272	214.055679	4119.199707
2-nonyl 4-quinolone M+H	272	272.065247	222512.1875
phenazine-1-carboxamide M+H	224	181.090912	19.693878
phenazine-1-carboxamide M+H	224	196	24.068176
phenazine-1-carboxamide M+H	224	196.090912	28.718042
phenazine-1-carboxamide M+H	224	196.181824	24.330441
phenazine-1-carboxamide M+H	224	206.545456	34.804668
phenazine-1-carboxamide M+H	224	206.636368	105.134552
phenazine-1-carboxamide M+H	224	206.72728	301.072632
phenazine-1-carboxamide M+H	224	206.818192	686.879211
phenazine-1-carboxamide M+H	224	206.909088	1233.073853
phenazine-1-carboxamide M+H	224	207	1736.085693
phenazine-1-carboxamide M+H	224	207.090912	1823.437744
phenazine-1-carboxamide M+H	224	207.181824	1382.299805
phenazine-1-carboxamide M+H	224	207.272736	745.653809
phenazine-1-carboxamide M+H	224	207.363647	276.052124
phenazine-1-carboxamide M+H	224	207.454544	64.452454
phenazine-1-carboxylic acid M+H	225	179.060394	31048
phenazine-1-carboxylic acid M+H	225	207.050888	52502
phenazine-1-carboxylic acid M+H	225	207.053162	427095
phenazine-1-carboxylic acid M+H	225	207.05513	2799960
phenazine-1-carboxylic acid M+H	225	207.057114	113000
phenazine-1-carboxylic acid M+H	225	208.058685	42414
phenazine-1-carboxylic acid M+H	225	225.063095	36929
phenazine-1-carboxylic acid M+H	225	225.065765	253065
phenazine-1-carboxylic acid M+H	225	226.066513	35125
phenazine-1-carboxylic acid M+H	225	226.069199	212128
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+H	701.364	58.065731	1716124.5
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+H	701.364	75.04451	3420237.75
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+H	701.364	108.080788	13388665
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+H	701.364	120.044365	5477134
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+H	701.364	122.096031	4988494
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+H	701.364	188.070358	8512794
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+H	701.364	216.065521	14606060
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+H	701.364	234.075699	3773692.75
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+H	701.364	326.212219	1099189.25
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+H	701.364	354.207855	2917803.25
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+H	701.364	372.217255	1465586
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+H	701.364	386.231995	3643207.75
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+H	701.364	391.495697	1000070.5625
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+H	701.364	404.242065	2541592.5
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+H	701.364	523.278625	1855222
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+H	701.364	587.328125	3245114.75
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+H	701.364	651.333252	1716019.125
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+H	701.364	669.334229	2663895.75
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+H	701.364	701.362976	96401048
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+H	701.364	702.365662	2269642.75
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M-H2O+H	683.353	58.065708	89763.679688
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M-H2O+H	683.353	71.049652	42468.28125
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M-H2O+H	683.353	75.044495	164584.46875
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M-H2O+H	683.353	84.081131	48178.074219
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M-H2O+H	683.353	108.080666	582604.375
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M-H2O+H	683.353	122.096214	309125.09375
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M-H2O+H	683.353	124.111717	52907.042969
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M-H2O+H	683.353	154.122208	43773.519531
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M-H2O+H	683.353	188.070221	304497.78125
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M-H2O+H	683.353	216.065201	1227082.25
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M-H2O+H	683.353	354.205231	74434.484375
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M-H2O+H	683.353	386.233551	66004.398438
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M-H2O+H	683.353	573.294495	46664.726562
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M-H2O+H	683.353	605.322876	42878.667969
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M-H2O+H	683.353	619.302734	106883.34375
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M-H2O+H	683.353	651.3302	102737.203125
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M-H2O+H	683.353	665.341797	188798.75
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M-H2O+H	683.353	683.352783	3794172.25
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M-H2O+H	683.353	684.357727	101197.820312
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+Na	723.346	55.505756	3860.797607
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+Na	723.346	58.065872	8283.064453
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+Na	723.346	75.044579	10847.875977
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+Na	723.346	84.856888	4590.196289
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+Na	723.346	126.205826	4698.884277
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+Na	723.346	286.17276	5609.814453
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+Na	723.346	291.999939	5035.319824
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+Na	723.346	311.380463	4583.680176
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+Na	723.346	357.179077	5292.210938
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+Na	723.346	372.115509	6131.691895
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+Na	723.346	372.25354	9893.165039
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+Na	723.346	390.264893	7962.358398
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+Na	723.346	400.247162	45302.6875
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+Na	723.346	418.259491	23182.976562
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+Na	723.346	440.239014	10460.834961
3-({2-[({11-ethyl-8,9-dihydroxy-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.1,?.0,?.0,?.0,?]nonadecan-13-yl}methoxy)carbonyl]phenyl}carbamoyl)-3-methylpropanoic acid M+Na	723.346	515.088135	5594.224121
